"Heights","Gender"
160.37733713088613,"Male"
177.63781773000923,"Male"
166.25827033431898,"Male"
182.46728734770358,"Male"
182.36853406277197,"Male"
173.91534776564094,"Male"
177.81902666409215,"Male"
173.58859986958512,"Male"
187.4252587232931,"Male"
163.15178467107566,"Male"
163.4124629697636,"Male"
186.29354453837854,"Male"
162.06918277019713,"Male"
164.82236089369033,"Male"
193.29777923654044,"Male"
173.9851013182346,"Male"
165.97587050251576,"Male"
180.57309748560712,"Male"
171.75183142115662,"Male"
160.71630446926798,"Male"
177.48072795858877,"Male"
172.46533402584873,"Male"
176.50825524457179,"Male"
180.84744533514777,"Male"
169.21657409644453,"Male"
180.7696768967454,"Male"
179.5376522574688,"Male"
169.64885595563166,"Male"
162.23017024726963,"Male"
171.02547895024483,"Male"
172.92875284409607,"Male"
171.45338647068405,"Male"
166.31587108992346,"Male"
175.17921336863756,"Male"
187.9220720173937,"Male"
172.0521701435845,"Male"
163.6812582124522,"Male"
176.96220128416795,"Male"
182.6214171962066,"Male"
177.5231971196228,"Male"
160.45749189817823,"Male"
179.09566076862788,"Male"
179.0941841522633,"Male"
176.5039416915884,"Male"
172.80265361136145,"Male"
179.48336778496576,"Male"
180.65230258500932,"Male"
168.15716025361098,"Male"
180.0376220488031,"Male"
169.23637492894804,"Male"
177.1427699805245,"Male"
178.1841433356578,"Male"
163.74965189427013,"Male"
169.24103829557083,"Male"
182.39706432050377,"Male"
181.96506711436967,"Male"
183.28627734884762,"Male"
174.29096274038795,"Male"
172.18894739631708,"Male"
182.92669096143055,"Male"
176.86023124249348,"Male"
168.9534917257208,"Male"
180.72630897622992,"Male"
160.87757260059252,"Male"
181.8245149651217,"Male"
167.40409980863387,"Male"
181.69167918279481,"Male"
167.9976819602371,"Male"
170.45879618603414,"Male"
182.84799568992506,"Male"
170.60063502845344,"Male"
175.24915509387398,"Male"
182.46789426114577,"Male"
175.00645617893642,"Male"
183.84086678347407,"Male"
181.82786648460188,"Male"
182.2697343678936,"Male"
178.70243831513838,"Male"
174.87601621533815,"Male"
171.45412285403626,"Male"
180.14744626892187,"Male"
181.46450367261667,"Male"
170.83953805835466,"Male"
174.9171668663399,"Male"
166.08062825706014,"Male"
178.1005875518049,"Male"
167.68480671332006,"Male"
183.12384801853108,"Male"
168.637933836918,"Male"
170.94115423863323,"Male"
177.4109869308076,"Male"
177.24188492468073,"Male"
155.19770269722065,"Male"
191.38379708437634,"Male"
182.84113572552374,"Male"
167.6780136467968,"Male"
170.04935003254246,"Male"
180.84601291118386,"Male"
184.74031736667666,"Male"
173.3607253222352,"Male"
170.97228881436655,"Male"
168.17743316471905,"Male"
169.24859247052063,"Male"
175.62463451155583,"Male"
155.43773673782448,"Male"
186.11345552295134,"Male"
180.06226357313056,"Male"
187.3395196685156,"Male"
186.35406102077707,"Male"
173.44169087141933,"Male"
170.96837395350587,"Male"
172.0376686450557,"Male"
180.63122789526923,"Male"
185.8514107551111,"Male"
179.0893990958105,"Male"
178.3456425645656,"Male"
177.43927816201264,"Male"
175.26222980953904,"Male"
168.41769941648377,"Male"
166.96214839687173,"Male"
175.4607315437492,"Male"
187.44298660398962,"Male"
160.55682905205015,"Male"
166.74460570177922,"Male"
196.060846099674,"Male"
185.40731956345041,"Male"
170.93288437715287,"Male"
179.4500445171979,"Male"
176.8573675992826,"Male"
172.44531487668166,"Male"
184.44950786887057,"Male"
174.63489727303042,"Male"
174.8549477903751,"Male"
159.6074254033514,"Male"
182.99031675332432,"Male"
178.73569144530975,"Male"
176.33930974255884,"Male"
161.04744520434818,"Male"
180.15592015787948,"Male"
177.557804082777,"Male"
183.22283539412786,"Male"
190.1061614744288,"Male"
174.92264933012072,"Male"
178.58934485917683,"Male"
172.27160146500557,"Male"
178.70242000423164,"Male"
170.01359255716412,"Male"
167.41934376231154,"Male"
183.78233943513865,"Male"
186.70528770708185,"Male"
169.4797397153983,"Male"
175.06283622525447,"Male"
180.9034081893218,"Male"
178.99304697382644,"Male"
176.844261707101,"Male"
186.66758167013643,"Male"
175.0676868573796,"Male"
178.44496445335156,"Male"
182.42888360354212,"Male"
180.9076470818292,"Male"
179.5507787731393,"Male"
174.52610227925547,"Male"
183.6650896706539,"Male"
189.18324080842564,"Male"
174.57844311202902,"Male"
162.80206603059656,"Male"
179.3720378954579,"Male"
166.54164038818783,"Male"
180.29113099806636,"Male"
188.6997142382513,"Male"
176.90556000318057,"Male"
